circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,yield,open,high,low,close,volume,market_cap
7814162,Horizen,0.066082,0.330411,-0.12934,2830158,0.36218,2019-11-21T23:32:42.222895,0.15834,5.19,6.19,5.1,5.39,1892168,42120991
7807025,Horizen,0.067553,0.337767,-0.13336,2824884,0.36184,2019-11-20T23:30:29.752910,0.15936,5.13,5.47,5.13,5.19,986793,40522166
7799800,Horizen,0.065659,0.328297,-0.12532,2829614,0.36278,2019-11-19T23:26:32.359150,0.16184,5.13,5.63,4.99,5.13,1416231,40030448
7792725,Horizen,0.068805,0.344026,-0.13376,2792710,0.35837,2019-11-18T23:36:28.947415,0.16425,5.54,5.56,5.12,5.13,817465,39950034
7785487,Horizen,0.064421,0.322103,-0.11724,2752158,0.3535,2019-11-17T23:29:41.032433,0.1671,5.68,5.77,5.53,5.53,901714,43092258
7778337,Horizen,0.066655,0.333277,-0.12448,2747084,0.35317,2019-11-16T23:26:20.814726,0.16732,5.87,6.36,5.67,5.68,2002580,44157125
7771200,Horizen,0.063757,0.318785,-0.11563,2746700,0.35345,2019-11-15T23:28:00.710198,0.16629,5.43,6.97,5.36,5.87,3798448,45600096
7764000,Horizen,0.068752,0.343761,-0.13131,2746444,0.35374,2019-11-14T23:26:12.282869,0.16732,5.25,5.58,5.02,5.42,1153645,42094599
7756875,Horizen,0.06565,0.328252,-0.12144,2730100,0.35196,2019-11-13T23:26:16.305109,0.16695,4.97,5.32,4.82,5.25,1372188,40724089
7749737,Horizen,0.071584,0.357918,-0.14074,2721704,0.3512,2019-11-12T23:26:18.270132,0.1668,4.92,4.98,4.8,4.97,1129207,38516938
7742550,Horizen,0.068674,0.343371,-0.13089,2708738,0.34985,2019-11-11T23:26:13.877224,0.16754,4.83,4.96,4.7,4.92,788396,38094546
7735562,Horizen,0.067858,0.339292,-0.12819,2730544,0.35299,2019-11-10T23:52:33.103805,0.16761,4.81,4.84,4.68,4.81,637695,37208997
7728425,Horizen,0.068352,0.341761,-0.13039,2728854,0.35309,2019-11-09T23:41:57.562969,0.1668,4.82,4.89,4.7,4.81,578135,37160047
7721150,Horizen,0.071079,0.355396,-0.1386,2723784,0.35277,2019-11-08T23:26:20.671464,0.16754,5.25,5.26,4.75,4.82,1054314,37247167
7714075,Horizen,0.074067,0.370337,-0.14799,2711488,0.3515,2019-11-07T23:26:36.791811,0.16754,4.8,5.36,4.63,5.26,1566954,40545341
7706925,Horizen,0.064632,0.323162,-0.11679,2713564,0.35209,2019-11-06T23:53:16.165281,0.16863,4.91,4.94,4.77,4.79,684634,36950698
7699875,Horizen,0.06776,0.338802,-0.127,2688670,0.34918,2019-11-05T23:53:12.803483,0.16878,4.86,4.99,4.8,4.91,550426,37835647
7692762,Horizen,0.070266,0.351328,-0.13423,2670466,0.34714,2019-11-04T23:53:18.647637,0.16994,4.96,5.03,4.7,4.86,1104320,37368270
7685537,Horizen,0.069473,0.347365,-0.13233,2683012,0.3491,2019-11-03T23:53:14.162962,0.16907,4.91,5.09,4.69,4.93,1635718,37878801
7678087,Horizen,0.065797,0.328984,-0.11984,2673220,0.34816,2019-11-02T22:53:19.552625,0.16972,4.91,5.08,4.72,4.89,1548886,37536817
7671312,Horizen,0.071103,0.355514,-0.13658,2670742,0.34815,2019-11-01T23:53:10.614709,0.17038,4.66,5.25,4.52,4.92,2425112,37722700
7664112,Horizen,0.067559,0.337793,-0.11799,2624902,0.34249,2019-10-31T23:53:04.887289,0.17994,4.79,5,4.47,4.67,1658499,35768152
7657037,Horizen,0.068144,0.340721,-0.11872,2581426,0.33713,2019-10-30T23:53:21.431807,0.18155,5.03,5.09,4.63,4.77,1554905,36503735
7649887,Horizen,0.069523,0.347613,-0.12377,2562046,0.33491,2019-10-29T23:53:17.401823,0.18082,4.82,5.14,4.51,5.03,2070082,38495803
