circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
247494572,Cosmos,0.068567,0.068567,0.02343,181304861,0.73256,2019-11-20T23:25:44.588193,247494572,0.0936,3.53,3.62,3.34,3.35,136161478,638110659
247448091,Cosmos,0.068593,0.068593,0.02365,180817155,0.73073,2019-11-19T23:26:01.795884,247448091,0.09387,3.63,3.69,3.37,3.53,138483758,672655150
247401610,Cosmos,0.068621,0.068621,0.02366,180790912,0.73076,2019-11-18T23:27:29.127713,247401610,0.0939,3.92,3.93,3.58,3.63,148746229,692125580
247355134,Cosmos,0.068649,0.068649,0.02377,180540611,0.72988,2019-11-17T23:29:10.111159,247355134,0.09405,3.99,4,3.85,3.92,119429121,748307219
247308615,Cosmos,0.068681,0.068681,0.02382,180428001,0.72957,2019-11-16T23:25:49.834702,247308615,0.09414,3.93,4,3.88,3.99,120766065,760419950
247262194,Cosmos,0.0687,0.0687,0.02386,180320769,0.72927,2019-11-15T23:27:29.055421,247262194,0.0942,4.02,4.14,3.86,3.93,159604699,748906249
247215584,Cosmos,0.068727,0.068727,0.02383,180366384,0.72959,2019-11-14T23:25:41.594320,247215584,0.0942,3.99,4.02,3.82,4.02,145523380,765966045
247169045,Cosmos,0.068737,0.068737,0.0238,180399345,0.72986,2019-11-13T23:25:45.916417,247169045,0.09418,4.21,4.23,3.98,4,174490242,761863902
247122512,Cosmos,0.068751,0.068751,0.02383,180322250,0.72969,2019-11-12T23:25:47.097467,247122512,0.09422,4.36,4.36,4.05,4.22,190695133,804250701
247075932,Cosmos,0.068769,0.068769,0.02382,180328327,0.72985,2019-11-11T23:25:42.671004,247075932,0.09422,4.21,4.38,4.07,4.36,187973925,831135433
247030151,Cosmos,0.068788,0.068788,0.02442,179075733,0.72491,2019-11-10T23:52:02.174885,247030151,0.09489,3.97,4.29,3.91,4.21,175582529,802408393
246983313,Cosmos,0.068805,0.068805,0.02411,179692462,0.72755,2019-11-09T23:41:24.532472,246983313,0.09457,3.81,3.98,3.81,3.96,138378897,755704287
246936232,Cosmos,0.068827,0.068827,0.02411,179670426,0.7276,2019-11-08T23:25:48.866180,246936232,0.0946,3.89,4.03,3.68,3.81,162184081,726952590
